site_name,street_address,city,state,zip_code
Dollar General #19120,3402 E Lake Ave,Tampa,FL,33610
Dollar General #14702,5600 Soutel Dr,Jacksonville,FL,32208
Dollar General #20510,2901 NW 27th Ave,Miami,FL,33142
Dollar General #16090,4201 34th St N,St. Petersburg,FL,33714
Dollar General #17620,1201 Memorial Blvd,Lakeland,FL,33801
Dollar General #16130,1400 Moreland Ave SE,Atlanta,GA,30316
Dollar General #18404,210 Deans Bridge Rd,Augusta,GA,30901
Dollar General #14140,3100 Victory Dr,Columbus,GA,31903
Dollar General #19602,1050 Ogeechee Rd,Savannah,GA,31415
Dollar General #17410,2400 Pio Nono Ave,Macon,GA,31206
Dollar General #16440,2802 E McDowell Rd,Phoenix,AZ,85008
Dollar General #20030,3601 S 6th Ave,Tucson,AZ,85713
Dollar General #15120,1201 E Florence Blvd,Casa Grande,AZ,85122
Dollar General #18090,2401 E Andy Devine Ave,Kingman,AZ,86401
Dollar General #18602,1400 S Central Ave,Los Angeles,CA,90021
Dollar General #17130,3102 Imperial Ave,San Diego,CA,92102
Dollar General #19404,4100 Arlington Ave,Riverside,CA,92506
Dollar General #15601,1201 Marysville Blvd,Sacramento,CA,95838
Dollar General #17520,3200 New Bern Ave,Raleigh,NC,27610
