site_id,site_name,latitude,longitude,county,state
dg-tx-21143,Dollar General #21143,31.8891,-102.3241,Ector County,TX
dg-tx-12030,Dollar General #12030,30.5062,-97.6693,Williamson County,TX
dg-tx-15502,Dollar General #15502,30.2064,-95.4165,Montgomery County,TX
dg-tx-17930,Dollar General #17930,30.6854,-96.3691,Brazos County,TX
dg-tx-19301,Dollar General #19301,31.0892,-97.3462,Bell County,TX
dg-tx-16640,Dollar General #16640,29.7171,-98.0795,Comal County,TX
dg-tx-13990,Dollar General #13990,32.7264,-97.7962,Parker County,TX
dg-tx-22204,Dollar General #22204,30.2962,-95.4691,Montgomery County,TX
dg-fl-16840,Dollar General #16840,28.6728,-81.4984,Orange County,FL
dg-fl-19020,Dollar General #19020,27.9839,-82.4164,Hillsborough County,FL
dg-fl-14602,Dollar General #14602,30.4039,-81.7095,Duval County,FL
dg-fl-20410,Dollar General #20410,25.8082,-80.2362,Miami-Dade County,FL
dg-fl-15990,Dollar General #15990,27.8152,-82.6740,Pinellas County,FL
dg-fl-17520,Dollar General #17520,28.0564,-81.9371,Polk County,FL
dg-ga-16030,Dollar General #16030,33.7228,-84.3440,Fulton County,GA
dg-ga-18304,Dollar General #18304,33.4562,-81.9751,Richmond County,GA
dg-ga-14040,Dollar General #14040,32.4339,-84.9562,Muscogee County,GA
dg-ga-19502,Dollar General #19502,32.0671,-81.1195,Chatham County,GA
dg-ga-17310,Dollar General #17310,32.8154,-83.6591,Bibb County,GA
dg-az-16340,Dollar General #16340,33.4708,-112.0164,Maricopa County,AZ
dg-az-19930,Dollar General #19930,32.1862,-110.9628,Pima County,AZ
dg-az-15020,Dollar General #15020,32.8840,-111.7295,Pinal County,AZ
dg-az-17990,Dollar General #17990,35.2064,-114.0160,Mohave County,AZ
dg-ca-18502,Dollar General #18502,34.0339,-118.2406,Los Angeles County,CA
dg-ca-17030,Dollar General #17030,32.7095,-117.1251,San Diego County,CA
dg-ca-19304,Dollar General #19304,33.9562,-117.3840,Riverside County,CA
dg-ca-15501,Dollar General #15501,38.6351,-121.4352,Sacramento County,CA
dg-nc-17420,Dollar General #17420,35.7940,-78.5751,Wake County,NC
dg-nc-19505,Dollar General #19505,35.2451,-80.8740,Mecklenburg County,NC
dg-nc-15920,Dollar General #15920,36.0862,-79.7651,Guilford County,NC
dg-oh-17040,Dollar General #17040,39.9628,-82.9539,Franklin County,OH
dg-oh-18410,Dollar General #18410,41.5239,-81.6551,Cuyahoga County,OH
dg-oh-14930,Dollar General #14930,39.7595,-84.2151,Montgomery County,OH
dg-tx-14521,Dollar General #14521,31.6298,-94.6412,Nacogdoches County,TX
dg-tx-18692,Dollar General #18692,29.7858,-96.1564,Austin County,TX
dg-tx-21243,Dollar General #21243,31.8941,-102.3191,Ector County,TX
dg-tx-12130,Dollar General #12130,30.5112,-97.6643,Williamson County,TX
dg-tx-15602,Dollar General #15602,30.2114,-95.4115,Montgomery County,TX
dg-tx-18030,Dollar General #18030,30.6904,-96.3641,Brazos County,TX
dg-tx-19401,Dollar General #19401,31.0942,-97.3412,Bell County,TX
dg-tx-16740,Dollar General #16740,29.7221,-98.0745,Comal County,TX
dg-tx-14090,Dollar General #14090,32.7314,-97.7912,Parker County,TX
dg-tx-22304,Dollar General #22304,30.3012,-95.4641,Montgomery County,TX
dg-fl-16940,Dollar General #16940,28.6778,-81.4934,Orange County,FL
dg-fl-19120,Dollar General #19120,27.9889,-82.4114,Hillsborough County,FL
dg-fl-14702,Dollar General #14702,30.4089,-81.7045,Duval County,FL
dg-fl-20510,Dollar General #20510,25.8132,-80.2312,Miami-Dade County,FL
dg-fl-16090,Dollar General #16090,27.8202,-82.6690,Pinellas County,FL
dg-fl-17620,Dollar General #17620,28.0614,-81.9321,Polk County,FL
dg-ga-16130,Dollar General #16130,33.7278,-84.3390,Fulton County,GA
dg-ga-18404,Dollar General #18404,33.4612,-81.9701,Richmond County,GA
dg-ga-14140,Dollar General #14140,32.4389,-84.9512,Muscogee County,GA
dg-ga-19602,Dollar General #19602,32.0721,-81.1145,Chatham County,GA
dg-ga-17410,Dollar General #17410,32.8204,-83.6541,Bibb County,GA
dg-az-16440,Dollar General #16440,33.4758,-112.0114,Maricopa County,AZ
dg-az-20030,Dollar General #20030,32.1912,-110.9578,Pima County,AZ
dg-az-15120,Dollar General #15120,32.8890,-111.7245,Pinal County,AZ
dg-az-18090,Dollar General #18090,35.2114,-114.0110,Mohave County,AZ
dg-ca-18602,Dollar General #18602,34.0389,-118.2356,Los Angeles County,CA
dg-ca-17130,Dollar General #17130,32.7145,-117.1201,San Diego County,CA
dg-ca-19404,Dollar General #19404,33.9612,-117.3790,Riverside County,CA
dg-ca-15601,Dollar General #15601,38.6401,-121.4302,Sacramento County,CA
dg-nc-17520,Dollar General #17520,35.7990,-78.5701,Wake County,NC
